Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Alexander Orasma",,0.25,1,0.9311,0.13,0.1084,0.0157,0.0015,0.0044,0.0592,0.0518,0.049,0,0.3017,0.01,0.007,0.0029,,0.0101,0.0028,0.13962,0.049,0.3017,0.162413,0.18955,0.17388,0.168132,0.36343,0.0342606,3.93233,0.198734,0,-0.000435209,0.00265026,-0.114328,2.34063,-0.000435209,0,-0.11469751465483569,0.012000000104308128,-0.00716533,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Alexander Orasma","sa3019097",801264
"Fabian Lopez","MIA",0.25,1,0.9491,0.1439,0.115,0.0191,0.0017,0.0081,0.0602,0.0586,0.032,0,0.3142,0.009,0.007,0.0029,,0.0163,0.0046,0.151617,0.032,0.3142,0.101846,0.185438,0.200927,0.173699,0.386365,0.0493099,4.43242,0.214263,0,0.000165753,0.00713066,-0.109847,3.95587,0.000165753,0,-0.11468454491114244,0.012000000104308128,-0.00716577,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Fabian Lopez","sa3021276",808500
"Keoni Cavaco",,0.25,1,0.9391,0.1609,0.1149,0.0269,0.0024,0.0167,0.0756,0.0767,0.042,0,0.3615,0.009,0.007,0.0029,,0.0083,0.0024,0.171334,0.042,0.3615,0.116183,0.212516,0.258439,0.209129,0.470955,0.0871047,4.00787,0.253918,0,-0.000621368,0.035647,-0.0813311,30.5428,-0.000621368,0,-0.08188694447744638,-0.020999999716877937,-0.0071849,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Keoni Cavaco","sa3010706",686577
"Adrian Garcia","PHI",0.25,1,0.9419,0.1465,0.1181,0.0184,0.0018,0.0082,0.0658,0.0618,0.0372,0,0.2452,0.011,0.007,0.0029,,0.0114,0.0032,0.155537,0.0372,0.2452,0.151713,0.195266,0.205011,0.180963,0.400277,0.0494745,4.14316,0.19885,0,-0.00032853,0.0129772,-0.104001,10.8776,-0.00032853,0,-0.1069017990375869,0.004000000189989805,-0.00718821,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Adrian Garcia","sa3023986",823785
"Diwarys Encarnacion","MIA",0.25,1,0.9431,0.143,0.1169,0.0189,0.0014,0.0058,0.0587,0.0556,0.036,0,0.2748,0.011,0.007,0.0029,,0.0085,0.0024,0.151628,0.036,0.2748,0.131004,0.190553,0.193087,0.17413,0.383639,0.041459,3.47863,0.204929,0,-0.000565583,0.00747791,-0.1095,4.24626,-0.000565583,0,-0.11506863165413961,0.012000000104308128,-0.00720544,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Diwarys Encarnacion","sa3023793",827285
"Yohander Linarez","BOS",0.25,1,0.9512,0.1578,0.128,0.0223,0.0022,0.0054,0.0644,0.061,0.0299,0,0.2758,0.009,0.007,0.0029,,0.0085,0.0024,0.165896,0.0299,0.2758,0.108412,0.197272,0.211102,0.183016,0.408374,0.0452061,3.82725,0.225111,0,-0.000589261,0.0146298,-0.102348,6.73252,-0.000589261,0,-0.10730680992128327,0.004000000189989805,-0.00722648,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yohander Linarez","sa3019212",800496
"Samuel Camacaro",,0.25,1,0.9391,0.1435,0.1191,0.0169,0.0016,0.006,0.0623,0.0571,0.041,0,0.2751,0.01,0.007,0.0029,,0.0114,0.0032,0.152806,0.041,0.2751,0.149037,0.195066,0.193483,0.177023,0.388549,0.0406772,4.04662,0.206767,0,-0.000358521,0.00980607,-0.107172,8.45666,-0.000358521,0,-0.10746502081747167,0.004000000189989805,-0.0072446,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Samuel Camacaro","sa3015829",699303
"Jason Matthews","CHW",0.63,2.54602,2.3061,0.4146,0.3023,0.0768,0.0083,0.0273,0.1953,0.1746,0.1815,0,0.835,0.0331,0.0179,0.0074,,0.027,0.0075,0.179784,0.0712878,0.327963,0.217365,0.247853,0.255843,0.228846,0.503696,0.0760591,4.01878,0.264965,-0.001,-0.00171714,0.131162,-0.166667,44.2545,-0.00271714,0,-0.16511375084519386,0.009999999776482582,-0.00725432,999,,,,,,,-2,-2,-2,-2,0.045,0.068,0.091,0.117,0.149,0.188,0.242,0.325,0.489,0.201,0.21,0.216,0.222,0.228,0.233,0.24,0.247,0.258,"Jason Matthews","sa3018152",667240
"Nathanael Rodriguez",,0.25,1,0.9401,0.1406,0.1136,0.0167,0.0016,0.0087,0.0635,0.0602,0.04,0,0.2717,0.01,0.007,0.0029,,0.0113,0.0032,0.149559,0.04,0.2717,0.147221,0.191154,0.19849,0.176767,0.389644,0.048931,4.0794,0.19784,0,-0.000327221,0.00959985,-0.107378,8.2804,-0.000327221,0,-0.10763993722503074,0.004000000189989805,-0.00726266,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Nathanael Rodriguez","sa3015793",699085
"Wagnel Luna","DET",0.25,1,0.9178,0.1118,0.091,0.0128,0.0017,0.0063,0.0571,0.049,0.0613,0,0.3674,0.011,0.007,0.0029,,0.0094,0.0026,0.121813,0.0613,0.3674,0.166848,0.184635,0.160057,0.162545,0.344692,0.0382436,3.82323,0.191435,0,-0.000461849,-0.00184659,-0.118825,-0.680962,-0.000461849,0,-0.1156619738903828,0.012000000104308128,-0.00726316,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Wagnel Luna","sa3021646",810981
