Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Archie Bradley",,0.0459,0.0519,0,4.65696,1,0,0,0,,1,4.401,1.0758,0.5577,0.51744,0.132444,0.3689,0.0249,0.0488,0.7228,6.5052,3.3201,1.95934,1.192,0.164235,0.0838219,0.08041354268789291,0.270078,1.4447,0.301579,0.704372,0.451992,,4.69576,-0.00416726,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Archie Bradley","12918",605151
"Ben Leeper","CHC",0.0477,0.0524,0.0064,4.48812,0.92,0.017,0,0,,1,4.337,0.9691,0.5324,0.49868,0.147333,0.3991,0.0229,0.0472,0.9129,8.2161,3.5919,2.2874,1.326,0.210491,0.0920221,0.1184689849615097,0.249081,1.3682,0.290329,0.719318,0.366941,,4.59491,-0.00417015,-0.0496453,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ben Leeper","sa3014907",663510
"Kevin Gowdy","TOR",0.0476,0.0528,0.0073,4.47552,0.9101,0.0191,0,0,,1,4.421,1.0369,0.5402,0.49728,0.115333,0.4381,0.023,0.0557,0.751,6.759,3.9429,1.71422,1.038,0.169871,0.0990952,0.0707758292555809,0.26403,1.475,0.30108,0.711668,0.49514,,4.64521,-0.00420812,-0.050245,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kevin Gowdy","sa917928",666151
"Freylin Garcia",,0.0463,0.0516,0,4.59423,1,0,0,0,,1,4.409,1.0014,0.5485,0.51047,0.132778,0.4601,0.0255,0.0436,0.8521,7.6689,4.1409,1.85199,1.195,0.193264,0.104355,0.08890905231237411,0.256421,1.4615,0.29743,0.715735,0.422004,,4.69949,-0.00420963,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Freylin Garcia","sa941791",671223
"Brandon Finnegan",,0.0443,0.0619,0.023,4.68666,0.7122,0.0612,0,0,,1,4.416,1.0098,0.5582,0.52074,0.148444,0.4602,0.0177,0.0425,0.8391,7.5519,4.1418,1.82334,1.336,0.190014,0.104212,0.0858016237616539,0.258043,1.47,0.294404,0.722402,0.407744,,4.92616,-0.00421812,-0.0473908,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Brandon Finnegan","16208",605232
"Chris Muller",,0.0465,0.0513,0,4.54509,1,0,0,0,,1,4.401,0.9859,0.5428,0.50501,0.133111,0.4677,0.0254,0.0421,0.8626,7.7634,4.2093,1.84434,1.198,0.196001,0.106271,0.08972961455583572,0.253367,1.4536,0.294523,0.718725,0.417001,,4.70112,-0.00422816,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Chris Muller","sa3006811",676726
"Jake Wong",,0.0463,0.0516,0,4.57389,1,0,0,0,,1,4.394,1.0441,0.5486,0.50821,0.128111,0.4137,0.0252,0.043,0.7501,6.7509,3.7233,1.81315,1.153,0.17071,0.0941511,0.07655894011259079,0.265182,1.4578,0.299432,0.711177,0.456998,,4.70182,-0.00423611,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jake Wong","23095",673858
"Cristian Hernandez","NYY",0.0484,0.0521,0.007,4.56687,0.9085,0.0195,0,0,,1,4.337,1.0074,0.5423,0.50743,0.163556,0.3432,0.0225,0.0495,0.8394,7.5546,3.0888,2.4458,1.472,0.193544,0.079133,0.1144108846783638,0.255407,1.3506,0.286891,0.720653,0.382493,,4.792,-0.00423722,-0.0489896,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Cristian Hernandez","sa3005836",678707
"Joey Marciano",,0.0489,0.055,0.0179,4.4055,0.7889,0.0449,0,0,,1,4.438,0.9953,0.5309,0.4895,0.116,0.5048,0.0198,0.0494,0.8175,7.3575,4.5432,1.61945,1.044,0.184205,0.113745,0.07045966386795044,0.25627,1.5001,0.298037,0.724527,0.466972,,4.70208,-0.00423901,-0.0476151,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Joey Marciano","sa3004637",664006
"Joakim Soria",,0.0462,0.0517,0,4.6638,1,0,0,0,,1,4.342,1.0195,0.551,0.5182,0.158778,0.3471,0.027,0.0419,0.8472,7.6248,3.1239,2.4408,1.429,0.195117,0.0799401,0.11517734080553055,0.257905,1.3666,0.292065,0.712743,0.347009,,4.70319,-0.0042414,-0.0476055,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Joakim Soria","6941",465657
